name,nameUi,type,year,model,scale,country,tonnageMin,tonnageMax,speedLimiter,param
bc_4_german_derf,Battlecruiser V,bc,1916,dreadnought_hull_c_long,1.38,germany,35500,44500,29.4,"type(bc), BC_Derfflinger, BC_Derfflinger_Large, bc, g3"
bc_3_german_derf,Battlecruiser IV,bc,1913,dreadnought_hull_d_short,1.15,germany,27400,34000,28.5,"type(bc), BC_Derfflinger, bc, g3"
bc_3_german,Battlecruiser III,bc,1909,von_der_tan_hull_c_tall,1.07,germany,26000,31000,28.4,"type(bc), BC_VonderTann_Large, Late_Cross_Deck, Small_Foredeck, bc, g2, g3"
bc_2_german,Battlecruiser II,bc,1909,dreadnought_hull_d_short,1.00,germany,23000,28000,28.3,"type(bc), BC_VonderTann_Large, Cross_Deck_Guns, Late_Cross_Deck, bc, g3"
bc_1_vondertann,Battlecruiser I,bc,1907,von_der_tan_hull_a,1.00,germany,19200,24200,26.5,"type(bc), BC_VonderTann, bc, g2, Small_Foredeck"
ca_5_german_hipper,Modern Heavy Cruiser III,ca,1933,bismarck_hull_a_tall,0.70,germany,16500,21500,32.5,"type(ca), CA_Heavy_German_Hipper, ca, No_Barb, g4"
ca_5_german_pocket_big,Advanced Armored Cruiser ╬ÖI,ca,1930,spee_hull_a,1.15,germany,17900,22900,29.5,"type(ca), CA_German_Pocket_Big, CA_Pocket, Middle_SuperStructure, barbette_need, No_Barb, ca, g4"
ca_5_german,Modern Heavy Cruiser II,ca,1926,bismarck_hull_a,0.80,germany,15500,20500,32.5,"type(ca), CA_Heavy_German, ca, g4"
ca_5_german_pocket,Advanced Armored Cruiser ╬Ö,ca,1926,spee_hull_a,1.00,germany,14900,18900,29.0,"type(ca), CA_German_Pocket, CA_Pocket, Middle_SuperStructure, barbette_need, No_Barb, ca, g4"
ca_5_german_early,Modern Heavy Cruiser I,ca,1925,bismarck_hull_a,0.57,"germany, austria",11900,14900,32.5,"type(ca), CA_German_Early, No_Barb, ca, g3"
ca_5_german_treaty,Heavy Cruiser,ca,1917,akizuki_hull_b_cruiser_inter,1.18,germany,9000,11250,33.5,"type(ca), German_CA_Treaty, ca, Essential_Central_Funnels, No_Barb, barbette_need, g3, g4, var(nose_long;middle_step)"
ca_4_blucher,Large Armored Cruiser,ca,1907,von_der_tan_hull_a_cruiser,1.00,germany,13500,17500,25.5,"type(ca), CA_Blucher, ca, g2, CA_Gun_Sides"
ca_3_friedrich,Armored Cruiser III,ca,1902,friedrich_hull_b,0.68,germany,11700,14500,22.0,"type(ca), CA_Friedrich, ca, g1, g2"
ca_2_friedrich,Armored Cruiser II,ca,1892,friedrich_hull_a,0.90,germany,8000,11000,21.0,"type(ca), CA_Friedrich, ca, g1"
ca_1_friedrich,Armored Cruiser I,ca,1890,friedrich_hull_a,0.80,germany,3500,8000,20.5,"type(ca), CA_small_Friedrich, ca, g1"
ca_maine_varcoastal,Coastal Defense Ship,ca,1890,maine_hull_d,1.23,"germany, austria",3500,4500,16.5,"type(ca), CA_Austria, Gun_Sides, g1"
cl_6_german_base,Modern Light Cruiser II,cl,1935,akizuki_hull_b_cruiser_inter,1.33,germany,11200,13950,34.5,"type(cl), Light_Nurnberg, cl, Essential_Central_Funnels, No_Barb, g4, var(nose_long;middle_step)"
dd_7_german_hybrid_dd,Recon Cruiser,cl,1935,spee_hull_dd,0.75,"germany, austria",4450,5850,35.0,"type(cl), Recon_Cruiser_GeAu, barbette_need, dd, g4"
cl_4_Modern_Generic,Modern Light Cruiser,cl,1925,bismarck_hull_a,0.56,"germany, austria",6500,10000,35.5,"type(cl), CL_Modern_GeAu, No_Barb, cl, g4"
cl_5_german_modern,Light Cruiser VI,cl,1925,akizuki_hull_b_cruisers_var,1.02,germany,7700,10250,32.5,"type(cl), German_CL_Exp_Advanced, cl, No_Barb, g4, Essential_Central_Funnels, barbette_need, rear_barbette, var(nose_long)"
cl_5_german_treaty,Light Cruiser V,cl,1916,akizuki_hull_b_cruiser_inter,1.00,germany,7000,9250,31.0,"type(cl), German_CL_Emden_Treaty, cl, No_Barb, g3, g4, Essential_Central_Funnels, var(nose_long;middle_step)"
cl_5_german_treaty_fk,Scout Cruiser,cl,1916,akizuki_hull_b,1.12,germany,4500,7250,32.0,"type(cl), German_CL_FK_Treaty, cl, No_Barb, g3, g4, Essential_Central_Funnels, var(nose_long;middle_step)"
cl_3_emden,Light Cruiser IV,cl,1903,warrior_hull_narrow_long,1.00,germany,8000,12000,27.5,"type(cl), CL_Emden_Large, cl, g1, Forward_Tower, rear_barbette, Coastal_Ship, Essential_Central_Funnels, var(nose_line)"
cl_2_medium_germany,Semi-Armored Cruiser II,cl,1902,cressy_hull,0.92,"germany, austria",7000,10000,21.5,"type(cl), CA_small_Friedrich_German, ca, g1, var(bow_step;middle_gun_b)"
cl_2_rambow,Light Cruiser II,cl,1893,gazelle_hull,0.99,"germany, russia, austria",2500,7000,22.5,"type(cl), CL, cl, g1, var(bow_a)"
cl_1_medium_germany,Semi-Armored Cruiser I,cl,1890,cressy_hull,0.85,"germany, austria",3500,7000,20.5,"type(cl), CA_small_Friedrich_German, ca, g1"
cl_2_emden,Light Cruiser III,cl,1890,emden_hull,1.02,germany,3000,8000,23.2,"type(cl), CL_Emden, cl, g1"
cl_1_rambow,Light Cruiser I,cl,1890,gazelle_hull,0.88,"germany, france, russia",2000,3500,21.0,"type(cl), CL_small, cl, g1, var(bow_a)"
cl_1_rambow_early,Torpedo Cruiser,cl,1890,gazelle_hull_tall,0.70,"germany, france, russia",1000,2000,21.5,"type(cl), Gunboat, cl, g1, var(bow_a)"
dd_7_russia_dd,Advanced Destroyer,dd,1935,akizuki_hull_a_dd_tall,1.00,"germany, austria",3690,4600,39.5,"type(dd), DD_Advanced_GeAu, dd, g3, var(nose_cave)"
dd_5_nose_large_german,Modern Destroyer (Leader),dd,1924,akizuki_hull_b,1.11,"germany, austria",2950,3750,36.0,"type(dd), DD_Modern_L_GeAu, dd, g4, var(nose_long)"
dd_5_nose_small_german,Modern Destroyer (Standard),dd,1921,akizuki_hull_b,1.00,"germany, austria",1600,2470,36.0,"type(dd), DD_Modern_M_GeAu, dd, g4, var(nose_long)"
dd_3_german,Destroyer III,dd,1913,akizuki_hull_b,0.95,germany,1500,1850,34.5,"type(dd), German_DD_New, dd, g2, g3, var(nose_cave;middle_step)"
dd_2_german,Destroyer I,dd,1908,akizuki_hull_b,0.80,germany,1000,1500,34.1,"type(dd), German_DD_Old, dd, g2, var(nose_cave)"
dd_1_german_large,Large Torpedo Boat II,dd,1901,dd_s_hull,1.15,germany,800,1100,32.8,"type(dd), DD_Small, dd, g1"
dd_1_german,Large Torpedo Boat,dd,1899,dd_s_hull,1.05,germany,600,900,33.8,"type(dd), DD_Small, dd, g1"
tb_modern_6,Modern Torpedo Boat,tb,1920,atlanta_hull_c,0.75,germany,650,1000,35.0,"type(tb), TB_Modern_6, dd, g1"
tb_highbow,Torpedo Boat,tb,1890,jap_tb_hull,1.41,"germany, austria, italy",200,500,29.0,"type(tb), TB, tb, g1, var(bow_c)"
bb_6_iowa,Super Battleship,bb,1929,iowa_hull_a,1.04,usa,88000,109000,33.0,"type(bb), BB_Modern_Iowa, bb, g4, Only_Quads, quad_guns_need"
bb_usa_north_carolina_large,Modern Battleship I,bb,1929,kgeorge_hull_a,1.18,usa,44500,52500,31.5,"type(bb), BB_NorthCarolina, Big_SuperStructure, Mixed_Quads, bb, g4, Typical_Modern_BB, quad_guns_need"
bb_5_iowa,Modern Battleship III,bb,1927,iowa_hull_a,0.96,usa,56000,86000,34.0,"type(bb), BB_Modern_Iowa, bb, g4"
bb_5_iowa_small,Modern Battleship II,bb,1927,iowa_hull_a,0.97,usa,47500,57500,32.0,"type(bb), BB_Modern_Iowa_small, No_Barb, bb, g4"
bb_2_usa_newyork_wide,Modernized Dreadnought III,bb,1927,new_york_hull_a,1.32,usa,41500,49500,21.8,"type(bb), bb, BB_USA_NewYork_modernized_wide, hullbarbette, Middle_SuperStructure, g4"
bb_4_usa_modernized,Modernized Dreadnought II,bb,1927,invincible_hull_b,1.40,usa,38500,46500,21.5,"type(bb), BB_Modern_Iowa_modernized, MainTower_Barbette, No_Barb, bb, g3, g4, Middle_SuperStructure"
bb_2_usa_newyork_base,Modernized Dreadnought I,bb,1927,new_york_hull_b,1.00,usa,25750,32500,22.9,"type(bb), bb, BB_USA_NewYork_modernized, newyork_style, g3, g4"
bb_3_usa_var,Experimental Dreadnought III,bb,1919,von_der_tan_hull_b_long2,1.27,usa,42500,49500,22.0,"type(bb), BB_Super, bb, g3, barbette_need"
bb_2_usa,Experimental Dreadnought II,bb,1919,south_carolina_hull_a,1.45,usa,41000,47000,22.0,"type(bb), BB_USA2, bb, g3"
bb_2_usa_newyork_var,Dreadnought V,bb,1919,new_york_hull_b,1.27,usa,32500,44500,22.5,"type(bb), bb, BB_USA_NewYork_big, sec_tower_little_room, battlecruiser_forward, g3, g4"
bb_2_usa_newyork_base_var,Dreadnought IV,bb,1914,new_york_hull_c,1.05,usa,28500,39500,22.0,"type(bb), bb, BB_USA_NewYork_addon, battlecruiser_forward, RussianCenterline, g3"
bb_2_usa_newyork_var2,Dreadnought III,bb,1910,new_york_hull_d,1.00,usa,26000,33500,22.0,"type(bb), bb, BB_USA_NewYork_gen2, battlecruiser_forward, RussianCenterline, g3"
bb_2_usa_texas_base,Dreadnought II,bb,1908,texas_hull_a,1.00,usa,23500,28500,21.6,"type(bb), bb, BB_USA_NewYork, RussianCenterline, g3"
bb_2_usa_newyork_var3,Experimental Dreadnought I,bb,1905,new_york_hull_e,1.04,usa,20500,24500,21.0,"type(bb), bb, BB_USA_NewYork, No_Barb, Small_Foredeck, g1, g2"
bb_1_usa,Dreadnought (USA),bb,1905,south_carolina_hull_a,1.00,usa,17500,25500,22.0,"type(bb), BB_USA, bb, g2, barbette_need"
b_1_usa_var_exp3,Battleship III,bb,1899,south_carolina_hull_b,1.11,usa,14500,17500,17.8,"type(bb), B_Kearsarge, bb, g1"
b_2_usa_semi,Experimental Battleship IV,bb,1899,dreadnought_hull_c_oldbb,1.03,usa,14000,15500,18.0,"type(bb), B_Kearsarge, bb, g1, var(stern_flat)"
b_2_usa_semi2,Experimental Battleship III,bb,1899,dreadnought_hull_c_oldbb,1.03,usa,13000,14500,18.0,"type(bb), B_Kearsarge, bb, g1, var(stern_step)"
b_2_usa,Battleship II,bb,1895,cressy_hull,1.50,usa,11500,17000,17.5,"type(bb), B_usa, bb, old_predread, earlybb_sideguns, g1, var(bow_flat_straight;stern_step_elevated;middle_gun_b)"
b_1_usa_var_exp2,Experimental Battleship II,bb,1895,irresistible_hull_b_lowfreeboard,1.09,usa,11000,13500,16.6,"type(bb), B_Kearsarge, bb, g1"
b_1_usa_var_exp1,Experimental Battleship I,bb,1892,dreadnought_hull_c_oldbb,1.05,usa,10500,12500,16.5,"type(bb), B_Indiana_var, old_predread, bb, g1, var(stern_step)"
b_1_usa,Battleship I,bb,1890,irresistible_hull_b,1.13,usa,11000,16000,18.0,"type(bb), B_usa_early, bb, g1"
b_1_usa_var,Small Battleship,bb,1890,maine_hull_a,1.30,usa,8050,10700,16.7,"type(bb), B_Indiana_var, old_predread, earlybb_sideguns, bb, g1"
b1_maine,Coastal Defense Ship,bb,1890,maine_hull_c,1.00,usa,6100,8500,17.0,"type(bb), B_Maine, Gun_Sides, g1"
bb_usa_north_carolina,Fast Battleship,bc,1935,kgeorge_hull_a,1.05,usa,47000,62500,32.0,"type(bc), BB_NorthCarolina, Big_SuperStructure, Mixed_Quads, bc, g4, Typical_Modern_BB, quad_guns_need"
bc_5_usa,Modern Battlecruiser,bc,1929,iowa_hull_a,0.75,usa,35000,50000,31.5,"type(bc), BC_Modern, bc, No_Barb, g4, bc_guns"
bc_4_usa,Large Cruiser,bc,1929,iowa_hull_a,0.69,usa,29000,37000,33.5,"type(bc), CA_Heavy_USA, Middle_SuperStructure, barbette_need, No_Barb, bc, g4, var(Smaller_Barbettes), bc_guns"
bc_3_britain,Battlecruiser III,bc,1913,invincible_hull,1.10,"usa, britain, france, italy",28500,33000,28.5,"type(bc), BC_BritainSuper, barbette_need, bc, g3"
bc_2_britain,Battlecruiser II,bc,1909,invincible_hull,1.09,"usa, britain, france",23500,28500,28.5,"type(bc), BC_Britain_Medium, bc, g3"
bc_1_britain,Battlecruiser I,bc,1907,invincible_hull,0.96,"usa, france",18000,22000,26.0,"type(bc), BC_Britain, bc, g2"
ca_6_desmoines2,Super Heavy Cruiser II,ca,1939,atlanta_hull_b_var,1.31,usa,16775,19750,32.0,"type(ca), CA_American_Style, No_Barb, desmoines_style ca, g4"
ca_6_desmoines1,Super Heavy Cruiser I,ca,1939,atlanta_hull_b_var,1.25,usa,14750,18750,31.0,"type(ca), CA_American_Style, No_Barb, desmoines_style, ca, g4"
ca_5_wichita,Modern Heavy Cruiser II,ca,1935,brooklyn_hull_b,1.05,usa,11500,15900,31.0,"type(ca), CL_Cleveland, Essential_Central_Funnels, Middle_SuperStructure, barbette_need, ca, g4"
ca_4_portland,Heavy Cruiser II,ca,1930,akizuki_hull_b,1.40,usa,9800,12750,31.5,"type(ca), Portland, ca, g3, g4, No_Barb, Tower_Forward, Essential_Central_Funnels, var(nose_long_b;middle_step)"
ca_5_usa,Modern Heavy Cruiser III,ca,1926,bismarck_hull_a,0.70,usa,18200,21000,29.5,"type(ca), CA_Heavy_USA, ca, No_Barb, g4"
ca_5_generic_4_alt,Modern Heavy Cruiser I,ca,1925,akizuki_hull_a_cruisers_wide,1.20,usa,11000,14500,34.6,"type(ca), CA_British_Early, ca, g3, No_Barb, Tower_Forward, Essential_Central_Funnels"
ca_4_pensacola,Heavy Cruiser I,ca,1917,trento_hull_modified,1.00,usa,9500,12300,31.5,"type(ca), Pensacola, ca, g3, g4, No_Barb, Tower_Forward, Essential_Central_Funnels, var(middle_boats)"
ca_5_usa_large2,Large Armored Cruiser,ca,1905,irresistible_hull_b_lowfreeboard_var,1.40,usa,14500,17500,21.8,"type(ca), CA_Tennessee, ca, g1, g2, CA_Super_Gun"
ca_5_usa_large1,Armored Cruiser V,ca,1900,irresistible_hull_b_lowfreeboard_var2,1.26,usa,12500,15500,21.6,"type(ca), CA_Pennsylvania, ca, g1"
ca_3,Armored Cruiser IV,ca,1898,cressy_hull,1.07,"usa, britain, japan, spain",10000,15000,21.5,"type(ca), CA, ca, g1, var(middle_gun_b)"
ca_2,Armored Cruiser III,ca,1892,irresistible_hull_a,0.89,"usa, britain, japan, china, russia, spain",8500,12000,21.5,"type(ca), CA_med, ca, g1"
ca_1,Armored Cruiser II,ca,1890,irresistible_hull_b,0.79,"usa, britain, japan, china, russia, italy",7500,11000,21.5,"type(ca), CA_med, ca, g1"
ca_1_small,Armored Cruiser I,ca,1890,irresistible_hull_d,0.70,"usa, britain, japan, china, russia, spain, italy",3500,8000,20.5,"type(ca), CA_small, ca, g1"
ca_1_3mast_usa,3-Mast Armored Cruiser,ca,1890,gazelle_hull_mast_b,1.05,usa,3700,7200,18.0,"type(ca), CL_old_3Mast_big, CL_small_3Mast_USFunnels, ca, g1, g2, Gun_Sides, earlycruiser_sideguns, var(bow_b)"
cl_6_cleveland,Modern Light Cruiser III,cl,1939,atlanta_hull_b,1.30,usa,11250,15200,32.0,"type(cl), CL_Cleveland, Middle_Superstructure, barbette_need, cl, g3, g4"
cl_5_atlanta,Fast Scout Cruiser,cl,1935,atlanta_hull_b,1.05,usa,5750,7500,37.2,"type(cl), CL_Atlanta, No_Barb, multi_barb, cl, g4"
cl_5_brooklyn,Modern Light Cruiser II,cl,1925,brooklyn_hull_b,1.00,usa,9900,13900,30.0,"type(cl), CL_Brooklyn, Essential_Central_Funnels, Middle_Superstructure, barbette_need, cl, g2, g3"
cl_4_Modern_Generic_2,Modern Light Cruiser,cl,1925,dreadnought_hull_flat_b,0.80,"usa, britain",6900,9900,36.4,"type(cl), CL_Modern_2, No_Barb, cl, g4"
cl_5_omaha,Scout Cruiser II,cl,1919,spee_hull_a_cruiser_short,1.08,usa,9500,12500,31.5,"type(cl), Omaha, cl, g1, barbette_need, Coastal_Ship, Essential_Central_Funnels, var(nose_line)"
cl_4_omaha,Scout Cruiser I,cl,1916,warrior_hull_narrow_long_mod,1.02,usa,8500,10500,31.5,"type(cl), Omaha, cl, g1, barbette_need, Coastal_Ship, Essential_Central_Funnels, var(nose_line)"
cl_5_omaha_base,Large Scout Cruiser,cl,1916,spee_hull_a_cruiser_small,1.16,usa,9700,13500,35.3,"type(cl), Omaha_Base, g1, g2, No_Barb, Essential_Central_Funnels, Coastal_Ship"
cl_3_usa_exp,Semi-Armored Cruiser IV,cl,1903,irresistible_hull_b_lowfreeboard_var,0.92,usa,8000,12500,23.0,"type(cl), CA_StLouis, cl, g1"
cl_3,Semi-Armored Cruiser III,cl,1903,irresistible_hull_a,0.81,"usa, britain, japan, spain, china",8000,12000,25.0,"type(cl), CA_small, ca, g1"
cl_2_medium,Semi-Armored Cruiser II,cl,1902,cressy_hull,0.92,"usa, britain",7000,10000,21.5,"type(cl), CA_small, ca, g1, var(bow_step;middle_gun_b)"
cl_2_straightbow,Light Cruiser II,cl,1893,gazelle_hull,1.00,"usa, britain, japan, spain, china, italy",2500,7000,23.0,"type(cl), CL, cl, g1, var(bow_b)"
cl_1_medium,Semi-Armored Cruiser I,cl,1890,cressy_hull,0.85,"usa, britain",3500,7000,20.5,"type(cl), CA_small, ca, g1"
cl_1_straightbow,Light Cruiser I,cl,1890,gazelle_hull,0.88,"usa, britain, japan, spain, china, italy",2000,3500,21.5,"type(cl), CL_small, cl, g1, var(bow_b)"
cl_1_3mast_usa,Standard 3-Mast Cruiser,cl,1890,gazelle_hull_mast_b,0.94,usa,2750,6700,17.5,"type(cl), CL_old_3Mast, CL_small_3Mast_USFunnels, cl, g1, g2, var(bow_b)"
cl_maine_threemast,Gunboat,cl,1890,maine_hull_j,0.74,"usa, russia, spain",1500,2750,17.5,"type(cl), Gunboat, Gun_Sides, g1"
cl_1_straightbow_early,Torpedo Cruiser,cl,1890,gazelle_hull_tall,0.70,"usa, britain, japan, spain, china, italy",1000,2000,21.5,"type(cl), Gunboat, cl, g1, var(bow_b)"
dd_7_fletcher_style_big,Advanced Destroyer (Large),dd,1935,atlanta_hull_c,1.00,usa,3200,4500,37.0,"type(dd), DD_Advanced_US, dd, g4"
dd_7_fletcher_style_small,Advanced Destroyer (Compact),dd,1935,atlanta_hull_c,0.97,usa,2200,3000,36.0,"type(dd), DD_Advanced_US, dd, g4"
dd_us_flush,"Flush Deck" Destroyer,dd,1935,akizuki_hull_a_flush,0.90,usa,1400,2060,33.5,"type(dd), DD_large, dd, g3"
dd_5_nose_large_usa,Modern Destroyer (Leader),dd,1922,akizuki_hull_b,1.20,usa,2600,3000,35.5,"type(dd), DD_Modern_L_US, dd, g4, var(nose_long)"
dd_5_akizuki_stern_flat,Modern Destroyer (Standard),dd,1922,akizuki_hull_a,1.11,usa,2300,2850,35.5,"type(dd), DD_Modern_M_US, dd, g4, var(stern_flat)"
dd_4,Destroyer IV,dd,1918,dd_s_hull,1.54,"usa, britain, spain, china",1550,2250,34.5,"type(dd), DD_huge, dd, g3"
dd_3,Destroyer III,dd,1913,dd_s_hull,1.32,"usa, britain, spain, china, austria, italy",1500,2000,34.2,"type(dd), DD_large, dd, g3"
dd_2,Destroyer II,dd,1908,dd_s_hull,1.23,"usa, britain, spain, china",1100,1500,34.0,"type(dd), DD, dd, g2"
dd_1,Destroyer I,dd,1899,dd_s_hull,1.15,"usa, britain, spain, china",700,1100,33.5,"type(dd), DD, dd, g1"
tb_modern_2,Modern Torpedo Boat,tb,1920,atlanta_hull_c,0.75,"usa, britain",650,1000,35.0,"type(tb), TB_Modern_2, dd, g1"
tb_standard,Torpedo Boat,tb,1890,jap_tb_hull,1.41,"usa, britain, france, spain, japan",200,500,28.5,"type(tb), TB, tb, g1, var(bow_a)"
bb_6,Super Battleship,bb,1929,yamato_hull_b,1.25,japan,97000,115000,31.0,"type(bb), BB_Modern, Yamato_Style, Typical_Modern_BB, bb, g4"
bb_5_japan,Experimental Battleship ,bb,1929,richelieu_hull_a,0.96,japan,47000,72000,32.5,"type(bb), BB_Izumo, Small_Deck, Narrow_Deck, bb, g4, French_Style_Quads"
bb_5,Modern Battleship II,bb,1927,yamato_hull_b,1.00,japan,66000,86000,28.0,"type(bb), BB_Modern, Yamato_Style, Typical_Modern_BB, bb, g4"
bb_5_old,Modern Battleship I,bb,1927,yamato_hull_a,1.00,japan,60000,90000,27.5,"type(bb), BB_Modern, Typical_Modern_BB, bb, g4"
bb_4_japan_wide,Modernized Dreadnought IV,bb,1927,fuso_hull_b,1.12,japan,42000,69500,22.2,"type(bb), BC_Modernized_Japan, bb, g3, battlecruiser_forward, barbette_need, RussianCenterline"
bb_4_japan_3,Modernized Dreadnought III,bb,1919,fuso_hull_a,1.03,japan,36000,69000,22.5,"type(bb), BB_Fuso, RussianCenterline, bb, g3"
bb_4_japan_2,Modernized Dreadnought II,bb,1919,dreadnought_hull_d,1.34,japan,51000,67000,22.5,"type(bb), BB_Semi_Japan, barbette_need, bb, g3"
bb_4_japan,Modernized Dreadnought I,bb,1919,dreadnought_hull_c,1.42,japan,49000,65000,22.5,"type(bb), BB_Semi_Japan, barbette_need, bb, g3"
bb_3,Dreadnought III,bb,1916,dreadnought_hull_d,1.23,"japan, russia, spain, china, austria",36000,44000,22.5,"type(bb), BB_Super, bb, g3, gv(2)"
bb_3_japan,Dreadnought IV,bb,1914,fuso_hull_a,1.03,japan,26000,46000,23.5,"type(bb), BB_Fuso_Old, barbette_need, RussianCenterline, bb, g3"
bb_2_japan,Dreadnought II,bb,1912,dreadnought_hull_d,1.10,japan,30000,37000,22.5,"type(bb), BB_Flat2, bb, g3"
bb_1_japan,Dreadnought I,bb,1905,dreadnought_hull_c_wide,1.00,japan,18500,25000,21.5,"type(bb), BB_Japan_Early, bb, g2, var(stern_flat), Cross_Deck_Guns, Late_Cross_Deck, Late_Cross_Deck_plus"
b3_britain,Semi-Dreadnought,bb,1895,agamemnon_hull_a,1.15,"japan, britain, spain",13500,18500,18.2,"type(bb), B_Agamemnon, g1"
b_2,Battleship II,bb,1895,irresistible_hull_a,1.00,"japan, britain",12500,16500,17.5,"type(bb), B, bb, g1"
b_1,Battleship I,bb,1890,irresistible_hull_b,1.02,"japan, britain",10000,15000,18.0,"type(bb), B, bb, g1"
bc_6_japan,Modern Battlecruiser II,bc,1935,moga_hull_a_var2,1.20,japan,38500,54000,35.0,"type(bc), BB_Izumo, Middle_SuperStructure, bc, g4"
bc_5_japan_scout,Experimental Large Cruiser,bc,1935,yamato_hull_b,0.70,japan,27600,33800,34.0,"type(bc), CA_Tone, Middle_SuperStructure, typical_modern, barbette_need, ca, g4"
bc_5_japan,Modern Battlecruiser,bc,1929,invincible_hull,1.15,japan,36000,51000,34.0,"type(bc), BC_Modern_Japan, Middle_SuperStructure, bc, g4"
bc_5_kongo,Modernized Battlecruiser,bc,1929,fuso_hull_b,1.00,japan,42500,57500,30.5,"type(bc), BC_Modernized_Japan, bc, g3, battlecruiser_forward, barbette_need, RussianCenterline"
bc_4_japan,Large Cruiser,bc,1929,yamato_hull_a,0.65,japan,29500,35000,35.5,"type(bc), CA_Tone, Middle_SuperStructure, typical_modern, barbette_need, ca, g4, var(Smaller_Barbettes)"
bc_4_kongo,Battlecruiser V,bc,1919,fuso_hull_a,1.00,japan,36500,43500,30.4,"type(bc), BB_Fuso_Old, BB_Fuso_sec, bc, g3, g4, battlecruiser_forward, barbette_need, RussianCenterline, Russian_Central_Turrets"
bc_3_kongo,Battlecruiser IV,bc,1916,dreadnought_hull_d_short,1.10,japan,27500,36500,30.2,"type(bc), BB_Fuso_Old, bc, g3, battlecruiser_forward, barbette_need, RussianCenterline"
bc_3,Battlecruiser III,bc,1913,dreadnought_hull_d,1.00,japan,25000,31000,30.0,"type(bc), BC, bc, g3, battlecruiser_forward, barbette_need, RussianCenterline"
bc_2_var,Battlecruiser II,bc,1909,dreadnought_hull_b,0.94,"japan, china, spain, russia",23000,28000,28.8,"type(bc), BC_Hybrid, bc, g2"
bc_1_Japan,Battlecruiser I,bc,1907,dreadnought_hull_d,0.95,"japan, italy",21000,27000,28.0,"type(bc), BC_Small, bc, g2"
ca_4_ibuki,Large Cruiser,bc,1907,von_der_tan_hull_b_cruiser,1.00,"japan, china, spain",14500,18500,25.0,"type(bc), CA_Warrior, bc, g2, CA_Gun_Sides, Small_Foredeck"
ca_8_japan,Modern Heavy Cruiser V,ca,1939,moga_hull_a_var,1.02,japan,14400,18900,36.0,"type(ca), CA_Heavy_Atago_New, barbette_need, Essential_Central_Funnels, ca, g4"
