@name,change,enabled,type,nameUi,order,Year,weight,cost,costMod,crew,model,scale,group,mountPoints,countries,param,stats,caliber,#caliberInch,barrels,hullWeightRatio,sectionsMin,sectionsMax,tonnageMin,tonnageMax,maxAllowedCaliber,beamMin,beamMax,draughtMin,draughtMax,beamCoef,draughtCoef,speedLimiter,minMainTurrets,minMainBarrels,#comment,#comment2,#cost_base,#cost_base_mod
bb_7_kgeorge,,,hull,Super Battleship,,1936,-1,-1,1.55,1650,kgeorge_hull_a,1.25,,,britain,"type(bb), BB_KGeorge_Super, Middle_Big, bb, g4, Big_SuperStructure, Typical_Modern_BB","hsize(3900), hull_form(101), stability(88), floatability(102), endurance(80), spot(0), turn(15), vis(8500), beam(0), draught(0)",,,,0.16,2,3,80500,92500,,-12,12,-22.5,18.5,0.75,0.65,32,4,12,,31.5,-1,
bb_7_spain,,,hull,Super Battleship,,1936,-1,-1,1.55,1650,kgeorge_hull_a,1.19,,,spain,"type(bb), BB_Modern_Spain_Super, Mixed_Quads, Big_SuperStructure, bb, g4","hsize(3000), hull_form(99), stability(72), floatability(99), endurance(83), spot(0), turn(62), vis(8300), beam(0), draught(0)",,,,0.157,3,4,75500,87500,,-12,12,-22.5,18.5,0.75,0.65,32.4,4,9,,31.9,-1,
bb_7_china,,,hull,Super Battleship,,1936,-1,-1,1.55,1650,richelieu_hull_b,1.275,,,china,"type(bb), BB_Modern_China_Super, Big_SuperStructure, Mixed_Quads, bb, g4","hsize(3000), hull_form(90), stability(85), floatability(85), endurance(77), spot(0), turn(30), vis(8250), beam(0), draught(0)",,,,0.156,2,3,74500,82500,,-12,12,-22.5,18.5,0.75,0.65,32,4,9,,31.5,-1,
bb_8_china,,,hull,Command Battleship,,1936,-1,-1,1.9,950,kgeorge_hull_compact,1.3,,,china,"type(bb), BB_Modern_China_Command, Command_Forward, No_Barb, bb, g4","hsize(3000), hull_form(85), stability(95), floatability(105), fire_ex(20), endurance(95), spot(0), turn(45), vis(7250), beam(0), draught(0)",,,,0.16,4,5,69000,78500,15,-12,12,-22.5,18.5,0.75,0.65,28.5,4,8,,28,-1,
bb_6_france,,,hull,Super Battleship II,,1929,-1,-1,1.55,1600,hood_hull_a_sternmod,1.52,,,france,"type(bb), BB_Modern_France, Typical_Modern2_BB, French_Fast_BB, bc, g4","hsize(3500), hull_form(119), stability(85), floatability(85), endurance(85), spot(0), turn(60), vis(8400), beam(0), draught(0)",,,,0.1675,1,2,82500,95000,,-10.5,10.5,-20.5,17.5,0.73,0.625,32,4,8,,31.5,-1,
bb_6_richelieu,,,hull,Super Battleship I,,1929,-1,-1,1.55,1550,richelieu_hull_a,1.195,,,france,"type(bb), BB_Modern_Richelieu_Big, Only_Quads, French_Style_Quads; French_Style_Quads_Big, quad_guns_need, bb, g4","hsize(4250), hull_form(95), stability(82), floatability(77), endurance(90), spot(0), turn(39), vis(8050), beam(0), draught(0)",,,,0.17,1,3,70000,85000,,-10.5,10.5,-20.5,17.5,0.73,0.625,33,2,8,,32.5,-1,
bb_6_kgeorge,,,hull,Modern Battleship II,,1936,-1,-1,1.55,1500,kgeorge_hull_a,1.11,,,britain,"type(bb), BB_KGeorge_Big, Mixed_Quads, Middle_Big, bb, g4, Big_SuperStructure, Typical_Modern_BB, quad_guns_need","hsize(3300), hull_form(105), stability(83), floatability(98), endurance(76), spot(0), turn(17), vis(8200), beam(0), draught(0)",,,,0.17,2,4,57500,75500,,-10.5,10.5,-20.5,17.5,0.73,0.625,32,3,12,,31.5,-1,
bb_6_soyuz,,,hull,Modern Battleship III,,1936,-1,-1,1.6,1500,ussr_hull_a,1,,,russia,"type(bb), BB_Soyuz, Big_SuperStructure, Typical_Modern_BB, bb, g4","hsize(6700), hull_form(80), stability(75), floatability(78), endurance(93), spot(0), turn(33), vis(8750), beam(0), draught(0)",,,,0.175,3,5,63000,83000,,-10.5,10.5,-20.5,17.5,0.73,0.625,30.5,3,8,,30,-1,
bb_6_russia,,,hull,Modern Battleship II,,1936,-1,-1,1.6,1500,spee_hull_a,1.56,,,russia,"type(bb), BB_Modern_Thick, Typical_Modern_BB, bb, g4, var(back_gun)","hsize(6700), hull_form(70), stability(70), floatability(65), endurance(105), spot(0), turn(24), vis(8500), beam(0), draught(0)",,,,0.19,2,4,65000,79000,,-10.5,10.5,-20.5,17.5,0.73,0.625,30,3,8,,29.5,-1,
bb_5,,,hull,Modern Battleship II,,1927,-1,-1,1.55,1500,yamato_hull_b,1,,,japan,"type(bb), BB_Modern, Yamato_Style, Typical_Modern_BB, bb, g4","hsize(3800), hull_form(82.5), stability(87.5), floatability(83), endurance(93), spot(0), turn(38), vis(8350), beam(0), draught(0)",,,,0.17,4,5,66000,86000,,-9.5,10.5,-20.5,18.5,0.73,0.625,28,4,12,,27.5,-1,
bb_5_old,,,hull,Modern Battleship I,,1927,-1,-1,1.55,1500,yamato_hull_a,1,,,japan,"type(bb), BB_Modern, Typical_Modern_BB, bb, g4","hsize(3300), hull_form(80), stability(85), floatability(80), endurance(89.5), spot(0), turn(33), vis(8250), beam(0), draught(0)",,,,0.17,2,4,60000,90000,,-9.5,10.5,-20.5,18.5,0.73,0.625,27.5,3,8,,27,-1,
bb_5_japan,,,hull,Experimental Battleship ,,1929,-1,-1,1.55,1500,richelieu_hull_a,0.958,,,japan,"type(bb), BB_Izumo, Small_Deck, Narrow_Deck, bb, g4, French_Style_Quads","hsize(3800), hull_form(75), stability(80), floatability(77), endurance(94), spot(0), turn(25), vis(8050), beam(0), draught(0)",,,,0.199,4,6,47000,72000,18,-9.5,10.5,-20.5,18.5,0.73,0.625,32.5,2,8,,32,-1,
bb_5_iowa,,,hull,Modern Battleship III,,1927,-1,-1,1.55,1500,iowa_hull_a,0.96,,,usa,"type(bb), BB_Modern_Iowa, bb, g4","hsize(2000), hull_form(95), stability(80), floatability(85), endurance(79), spot(0), turn(35), vis(7950), beam(0), draught(0)",,,,0.17,2,4,56000,86000,,-9.5,10.5,-20.5,18.5,0.73,0.625,34,3,8,,33.5,-1,
bb_5_iowa_small,,,hull,Modern Battleship II,,1927,-1,-1,1.55,1500,iowa_hull_a,0.97,,,usa,"type(bb), BB_Modern_Iowa_small, No_Barb, bb, g4","hsize(1500), hull_form(90), stability(85), floatability(80), endurance(79), spot(0), turn(25), vis(7750), beam(0), draught(0)",,,,0.156,2,3,47500,57500,18,-9.5,10.5,-20.5,18.5,0.73,0.625,32,3,8,,31.5,-1,
bb_usa_north_carolina_large,,,hull,Modern Battleship I,,1929,-1,-1,1.55,1450,kgeorge_hull_a,1.18,,,usa,"type(bb), BB_NorthCarolina, Big_SuperStructure, Mixed_Quads, bb, g4, Typical_Modern_BB, quad_guns_need","hsize(3300), hull_form(80), stability(82), floatability(78), endurance(74), spot(0), turn(28), vis(7800), beam(0), draught(0)",,,,0.13,1,2,44500,52500,18,-9.5,10.5,-20.5,18.5,0.73,0.625,31.5,3,8,,31,-1,
bb_7_littorio,,,hull,Super Battleship,,1936,-1,-1,1.6,1420,littorio_hull_a,1.2,,,italy,"type(bb), BB_Littorio_Super, Side_Barbettes, Big_SuperStructure, Mixed_Quads, var(stern_a), bb, g4","hsize(3800), hull_form(88), stability(85), floatability(82), endurance(95), spot(0), turn(50), vis(8800), beam(0), draught(0)",,,,0.2,3,5,76500,92500,,-9.5,10.5,-20.5,18.5,0.73,0.625,33,4,9,,32.5,-1,
bb_6_littorio,,,hull,Modern Battleship III,,1936,-1,-1,1.6,1420,littorio_hull_a,1,,,italy,"type(bb), BB_Littorio, Side_Barbettes, Typical_Modern2_BB, Mixed_Quads, var(stern_a), bb, g4","hsize(2800), hull_form(94), stability(80), floatability(80), endurance(89), spot(0), turn(60), vis(8100), beam(0), draught(0)",,,,0.2,3,5,45000,72500,,-9.5,10.5,-20.5,18.5,0.73,0.625,32.5,3,8,,32,-1,
bb_6_italy,,,hull,Modern Battleship II,,1929,-1,-1,1.6,1420,spee_hull_a,1.48,,,italy,"type(bb), BB_Modern_Italy2, Middle_SuperStructure, Mixed_Quads, Big_SuperStructure, barbette_need, var(stern_a), bb, g4","hsize(2200), hull_form(89), stability(75), floatability(90), endurance(95), spot(0), turn(50), vis(8300), beam(0), draught(0)",,,,0.2,2,3,60500,70500,,-9.5,10.5,-20.5,18.5,0.73,0.625,32,3,8,,31.5,-1,
bb_6_spain,,,hull,Modern Battleship II,,1929,-1,-1,1.6,1420,spee_hull_a,1.523,,,spain,"type(bb), BB_Modern_Spain, Mixed_Quads, var(stern_a), bb, g4","hsize(2000), hull_form(91), stability(74), floatability(92), endurance(85), spot(0), turn(56), vis(8000), beam(0), draught(0)",,,,0.2,1,2,61500,71500,,-9.5,10.5,-20.5,18.5,0.73,0.625,32,3,8,,31.5,-1,
bb_6_china,,,hull,Modern Battleship ,,1936,-1,-1,1.55,1500,richelieu_hull_b,1.034,,,china,"type(bb), BB_Modern_China, Typical_Modern_BB, barbette_need, bb, g4","hsize(2500), hull_form(95), stability(80), floatability(85), endurance(72), spot(0), turn(35), vis(7850), beam(0), draught(0)",,,,0.156,3,5,50500,60500,,-9.5,10.5,-20.5,18.5,0.73,0.625,32,4,9,,31.5,-1,
bb_6_china_exp,,,hull,Experimental Battleship ,,1929,-1,-1,1.55,1500,richelieu_hull_a,0.89,,,china,"type(bb), BB_Modern_China, Small_Deck, Narrow_Deck, bb, g4, French_Style_Quads","hsize(1800), hull_form(99), stability(77), floatability(87), endurance(70), spot(0), turn(55), vis(7650), beam(0), draught(0)",,,,0.179,5,7,42500,55000,18,-9.5,10.5,-20.5,18.5,0.73,0.625,32,2,8,,31.5,-1,
bb_6_austria,,,hull,Modern Battleship,,1929,-1,-1,1.6,1500,bismarck_hull_a,1.1,,,austria,"type(bb), BB_Modern_Austria2, Mixed_Quads, Middle_Big, bb, g4","hsize(4300), hull_form(87), stability(80), floatability(78), endurance(102), spot(0), turn(30), vis(7950), beam(0), draught(0)",,,,0.17,2,4,51000,81000,,-9.5,10.5,-20.5,18.5,0.73,0.625,32,4,8,,31.5,-1,
bb_5_bismarck,,,hull,Modern Battleship II,,1927,-1,-1,1.6,1500,bismarck_hull_a,1.033,,,germany,"type(bb), BB_Modern_Germany, No_Barb, bb, g4","hsize(3600), hull_form(97), stability(90), floatability(78), endurance(95), spot(0), turn(40), vis(7850), beam(0), draught(0)",,,,0.17,2,4,52500,82500,,-9.5,10.5,-20.5,18.5,0.73,0.625,32,3,9,,31.5,-1,
bb_5_mission_test,,,hull,Modern Battleship (Japan),,-1,-1,-1,1.55,1500,yamato_hull_b,1,,,japan,"type(bb), BB_Modern, Typical_Modern_BB, bb, g4","hsize(3300), hull_form(80), stability(85), floatability(80), endurance(89.5), spot(0), turn(33), vis(8250), beam(0), draught(0)",,,,0.17,4,6,66000,96000,,-9.5,10.5,-20.5,18.5,0.73,0.625,32,3,9,,31.5,-1,
bb_5_mission,,,hull,Modern Battleship (Japan),,-1,-1,-1,1.55,1500,yamato_hull_b,1,,,japan,"type(bb), BB_Modern, Yamato_Style, Typical_Modern_BB, bb, g4","hsize(3300), hull_form(80), stability(85), floatability(80), endurance(89.5), spot(0), turn(33), vis(8250), beam(0), draught(0)",,,,0.17,4,6,66000,96000,,-9.5,10.5,-20.5,18.5,0.73,0.625,32,3,8,,31.5,-1,
bb_5_mission,,0,hull,Modern Battleship (Japan),,,-1,-1,1.55,1500,yamato_hull_a,1,,,japan,"type(bb), BB_Modern, Typical_Modern_BB, bb, g4","hsize(3300), hull_form(80), stability(85), floatability(80), endurance(89.5), spot(0), turn(33), vis(8250), beam(0), draught(0)",,,,0.17,2,4,66000,96000,,-9.5,10.5,-20.5,18.5,0.73,0.625,32,3,8,,31.5,-1,
bb_5_iowa_mission,,,hull,Modern Battleship (USA),,-1,-1,-1,1.55,1500,iowa_hull_a,0.96,,,usa,"type(bb), BB_Modern_Iowa, bb, g4","hsize(2000), hull_form(95), stability(80), floatability(85), endurance(79), spot(0), turn(35), vis(7950), beam(0), draught(0)",,,,0.17,2,4,56000,86000,,-9.5,10.5,-20.5,18.5,0.73,0.625,33,3,8,,32.5,-1,
bb_5_bismarck_mission,,,hull,Modern Battleship (Germany),,-1,-1,-1,1.55,1500,bismarck_hull_a,1.033,,,germany,"type(bb), BB_Modern_Germany, No_Barb, bb, g4","hsize(3600), hull_form(77.5), stability(90), floatability(78), endurance(95), spot(0), turn(40), vis(7850), beam(0), draught(0)",,,,0.17,2,4,52500,82500,,-9.5,10.5,-20.5,18.5,0.73,0.625,32,3,15,,31.5,-1,
bb_6_littorio_mission,,,hull,Modern Battleship (Italy),,-1,-1,-1,1.6,1420,littorio_hull_a,1,,,italy,"type(bb), BB_Littorio, Side_Barbettes, Big_SuperStructure, Mixed_Quads, var(stern_a), bb, g4","hsize(2800), hull_form(94), stability(80), floatability(80), endurance(89), spot(0), turn(60), vis(8100), beam(0), draught(0)",,,,0.2,3,5,45000,72500,,-9.5,10.5,-20.5,18.5,0.73,0.625,33,3,8,,32.5,-1,
bb_5_richelieu_mission,,,hull,Modern Battleship (France),,-1,-1,-1,1.55,1450,richelieu_hull_a,1,,,france,"type(bb), BB_Modern_Richelieu, Only_Quads, French_Style_Quads, quad_guns_need, bb, g4","hsize(4250), hull_form(95), stability(82), floatability(77), endurance(90), spot(0), turn(39), vis(8050), beam(0), draught(0)",,,,0.16,2,4,45000,65000,18,-9.5,10.5,-20.5,18.5,0.73,0.625,33,2,8,,32.5,-1,
bb_6_soyuz_mission,,,hull,Modern Battleship (Russia),,-1,-1,-1,1.6,1500,ussr_hull_a,1,,,russia,"type(bb), BB_Soyuz, Big_SuperStructure, Mixed_Quads, bb, g4","hsize(6700), hull_form(80), stability(75), floatability(78), endurance(93), spot(0), turn(33), vis(8750), beam(0), draught(0)",,,,0.175,3,5,63000,83000,,-9.5,10.5,-20.5,18.5,0.73,0.625,31,3,8,,30.5,-1,
bb_5_exp_france,,,hull,Experimental Battleship,,1929,-1,-1,1.55,1450,moga_hull_b,1.5,,,france,"type(bb), BB_Modern_Richelieu, Middle_SuperStructure, Only_Quads, French_Style_Quads, quad_guns_need, bb, g4","hsize(4750), hull_form(99), stability(78), floatability(72), endurance(82), spot(0), turn(45), vis(8250), beam(0), draught(0)",,,,0.16,3,5,45500,67500,18,-9.5,10.5,-20.5,18.5,0.73,0.625,32,3,8,,31.5,-1,
bb_5_richelieu,,,hull,Modern Battleship II,,1927,-1,-1,1.55,1450,richelieu_hull_a,1,,,france,"type(bb), BB_Modern_Richelieu, Only_Quads, French_Style_Quads, quad_guns_need, bb, g4","hsize(4250), hull_form(95), stability(82), floatability(77), endurance(90), spot(0), turn(39), vis(8050), beam(0), draught(0)",,,,0.16,2,4,45000,65000,18,-9.5,10.5,-20.5,18.5,0.73,0.625,32,2,8,,31.5,-1,
bb_5_kgeorge,,,hull,Modern Battleship I,,1929,-1,-1,1.55,1450,kgeorge_hull_a,1,,,britain,"type(bb), BB_KGeorge, Big_SuperStructure, Mixed_Quads, bb, g4, Typical_Modern_BB, quad_guns_need","hsize(3300), hull_form(97), stability(79), floatability(96), endurance(73), spot(0), turn(20), vis(8000), beam(0), draught(0)",,,,0.15,2,4,45000,60500,18,-9.5,10.5,-20.5,18.5,0.73,0.625,32,3,8,,31.5,-1,
bb_5_bismarck_small,,,hull,Modern Battleship I,,1927,-1,-1,1.6,1300,bismarck_hull_a,0.93,,,germany,"type(bb), BB_Modern_Germany_small, Middle_SuperStructure, bb, g4","hsize(3200), hull_form(115), stability(85), floatability(74), endurance(81), spot(0), turn(49), vis(7450), beam(0), draught(0)",,,,0.17,3,4,42500,54500,18,-9.5,10.5,-20.5,18.5,0.73,0.625,32,3,8,,31.5,-1,
bb_5_kgeorge_mission,,,hull,Modern Battleship (British),,-1,-1,-1,1.55,1450,kgeorge_hull_a,1,,,britain,"type(bb), BB_KGeorge, Mixed_Quads, bb, g4, Big_SuperStructure, Typical_Modern_BB, quad_guns_need","hsize(3300), hull_form(97), stability(79), floatability(96), endurance(73), spot(0), turn(20), vis(8000), beam(0), draught(0)",,,,0.15,2,4,45000,60500,18,-9.5,10.5,-20.5,18.5,0.73,0.625,32,3,8,,31.5,-1,
bb_5_italy,,,hull,Modern Battleship I,,1927,-1,-1,1.55,1420,invincible_hull,1.335,,,italy,"type(bb), BB_Modern_Italy, Middle_SuperStructure, Mixed_Quads, Big_SuperStructure, barbette_need, little_funnel_room, bb, g4","hsize(2200), hull_form(115), stability(75), floatability(90), endurance(80), spot(0), turn(67), vis(8100), beam(0), draught(0)",,,,0.2,2,3,55000,65000,18,-9.5,10.5,-20.5,18.5,0.73,0.625,32,3,8,,31.5,-1,
bb_5_france,,,hull,Modern Battleship I,,1927,-1,-1,1.55,1420,yamato_hull_a,0.82,,,france,"type(bb), BB_Modern_France_Small, barbette_need, bb, g4, var(Smaller_Barbettes), Nelson, quad_guns_need, Middle_Towers_Chance, Big_SuperStructure, Typical_Modern_BB","hsize(2200), hull_form(117), stability(80), floatability(80), endurance(75), spot(0), turn(70), vis(8000), beam(0), draught(0)",,,,0.19,4,5,50000,60000,18,-9.5,10.5,-20.5,18.5,0.73,0.625,32,3,8,,31.5,-1,
bb_5_russia,,,hull,Modern Battleship I,,1927,-1,-1,1.45,1375,bismarck_hull_a,0.927,,,"russia, spain","type(bb), BB_Modern_Russia, Middle_SuperStructure, barbette_need, No_Barb, bb, g4","hsize(1200), hull_form(84), stability(75), floatability(65), endurance(76), spot(0), turn(30), vis(7950), beam(0), draught(0)",,,,0.17,3,5,45000,69000,18,-9.5,10.5,-20.5,18.5,0.73,0.625,32,3,8,,31.5,-1,
bb_7_china_exp,,,hull,Large Torpedo Warship,,1936,-1,-1,2.1,750,moga_hull_d_var,1.1,,,china,"type(bb), Large_Exper_Warship, Torpedo_Sides, Command_Forward, No_Barb, bb, g4","hsize(1600), hull_form(90), stability(70), floatability(81), endurance(65), spot(0), turn(55), vis(6750), beam(0), draught(0)",,,,0.23,2,4,31000,43000,15,-12.5,2.5,,,,,30,4,8,,29.5,-1,
bb_5_mod_france,,,hull,Advanced Modernized Dreadnought,,1929,-1,-1,1.55,600,invincible_hull_c,1.1,,,france,"type(bb), BB_France_Mod, bb, g3, Russian_Central_Turrets, French_Fast_BB, French_Style_Quads, quad_guns_need, var(center_mounts)","hsize(950), hull_form(93), stability(89), floatability(89), endurance(70), spot(0), turn(36), vis(7400), beam(0), draught(0)",,,,0.21,2,8,30000,54000,16,,,,,,,25,3,8,,24.5,-1,
bb_5_austria,,,hull,Modernized Dreadnought II,,1927,-1,-1,1.45,1350,dreadnought_hull_c,1.5,,,austria,"type(bb), BB_Modern_Austria, Middle_SuperStructure, barbette_need, bb, g3, var(stern_flat;mounts_b)","hsize(550), hull_form(63), stability(85), floatability(60), endurance(105), spot(0), turn(15), vis(7750), beam(0), draught(0)",,,,0.2,3,5,64000,90500,18,-11.5,14.5,-20.5,18.5,0.73,0.625,22,3,8,,21.5,-1,
bb_5_austria_alt,,,hull,Modernized Dreadnought I,,1927,-1,-1,1.45,650,dreadnought_hull_c,1.34,,,austria,"type(bb), BB_Modernized_Austria_New, Middle_SuperStructure, bb, g3, var(stern_flat;mounts_b)","hsize(550), hull_form(60), stability(89), floatability(63), endurance(97), spot(0), turn(13), vis(7150), beam(0), draught(0)",,,,0.2,2,4,44000,60500,18,-11.5,14.5,-20.5,18.5,0.73,0.625,22,3,8,,21.5,-1,
bb_5_china,,,hull,Modernized Dreadnought II,,1927,-1,-1,1.45,1350,dreadnought_hull_c,1.45,,,china,"type(bb), BB_Modern_Austria, Middle_SuperStructure, barbette_need, bb, g3, var(stern_flat;mounts_b)","hsize(650), hull_form(69), stability(75), floatability(60), endurance(90), spot(0), turn(15), vis(7550), beam(0), draught(0)",,,,0.19,4,6,61000,87000,18,-9.5,13.5,-20.5,21.5,0.73,0.625,22,3,8,,21.5,-1,
bb_modernized_sideguns,,,hull,Modernized Dreadnought I,,1927,-1,-1,1.35,1250,new_york_hull_a,1.1,,,china,"type(bb), bb, China_MD, newyork_style, Late_Cross_Deck_plus, g2, g3","hsize(1400), hull_form(79), stability(70), floatability(70), endurance(72), spot(0), turn(60), vis(6000), beam(0), draught(0)",,,,0.17,6,8,28750,34500,14,,,,,,,22.9,4,8,,22.4,-1,
bb_4_britain,,,hull,N3 Battleship,,1919,-1,-1,1.45,1400,dreadnought_hull_flat_b,1.49,,,britain,"type(bb), BB_British_G3, bb, g4, Small_Deck, Narrow_Deck, Nelson, Middle_Towers_Chance, var(nelson)","hsize(2000), hull_form(93), stability(85), floatability(80), endurance(70), spot(0), turn(42), vis(7900), beam(0), draught(0)",,,,0.155,1,3,38000,61000,18,,,,,,,24,3,8,,21.5,-1,
bb_4_japan_wide,,,hull,Modernized Dreadnought IV,,1927,-1,-1,1.55,650,fuso_hull_b,1.12,,,japan,"type(bb), BC_Modernized_Japan, bb, g3, battlecruiser_forward, barbette_need, RussianCenterline","hsize(1700), hull_form(77), stability(85), floatability(90), endurance(99), spot(0), turn(50), vis(8250), beam(0), draught(0)",,,,0.23,3,5,42000,69500,18,,21,,,,,22.2,3,8,,21.7,-1,
bb_4_japan_3,,,hull,Modernized Dreadnought III,,1919,-1,-1,1.45,1300,fuso_hull_a,1.035,,,japan,"type(bb), BB_Fuso, RussianCenterline, bb, g3","hsize(1500), hull_form(83), stability(79), floatability(80), endurance(90), spot(0), turn(55), vis(8050), beam(0), draught(0)",,,,0.18,4,7,36000,69000,18,,,,,,,22.5,5,10,,22,-1,
bb_4_japan_2,,,hull,Modernized Dreadnought II,,1919,-1,-1,1.45,1300,dreadnought_hull_d,1.336,,,japan,"type(bb), BB_Semi_Japan, barbette_need, bb, g3","hsize(900), hull_form(85), stability(82), floatability(83), endurance(85), spot(0), turn(50), vis(7750), beam(0), draught(0)",,,,0.2,2,4,51000,67000,18,,,,,,,22.5,3,8,,22,-1,
bb_4_japan,,,hull,Modernized Dreadnought I,,1919,-1,-1,1.45,1300,dreadnought_hull_c,1.42,,,japan,"type(bb), BB_Semi_Japan, barbette_need, bb, g3","hsize(700), hull_form(81), stability(85), floatability(81), endurance(90), spot(0), turn(40), vis(7950), beam(0), draught(0)",,,,0.2,3,4,49000,65000,18,,,,,,,22.5,3,8,,22,-1,
bb_4_generic,,,hull,Modernized Dreadnought II,,1927,-1,-1,1.45,1200,dreadnought_hull_flat_b,1.42,,,"spain, france, italy","type(bb), BB_Generic_Advanced, bb, g3, Small_Deck, Narrow_Deck, var(center_mounts)","hsize(650), hull_form(91), stability(85), floatability(82), endurance(75), spot(0), turn(39), vis(7800), beam(0), draught(0)",,,,0.195,1,2,54000,64000,18,,,,,,,24.5,3,8,,24,-1,
bb_4_generic_alt,,,hull,Modernized Dreadnought I,,1927,-1,-1,1.45,1200,dreadnought_hull_c,1.225,,,"france, italy","type(bb), BB_Generic_Advanced, bb, g3, Small_Deck, Narrow_Deck, var(center_mounts)","hsize(650), hull_form(93), stability(81), floatability(75), endurance(71), spot(0), turn(39), vis(7300), beam(0), draught(0)",,,,0.145,2,4,34000,44000,18,,,,,,,24.5,3,8,,24,-1,
bb_modernized_sideguns_var,,,hull,Modernized Dreadnought I,,1927,-1,-1,1.35,1050,new_york_hull_a,1.2,,,spain,"type(bb), bb, Spain_MD, newyork_style, Late_Cross_Deck_plus, g2, g3","hsize(1400), hull_form(72), stability(75), floatability(65), endurance(76), spot(0), turn(55), vis(6200), beam(0), draught(0)",,,,0.17,5,7,28950,34900,16,,,,,,,22.9,4,8,,22.4,-1,
